dataset	method	frequency_hz	snr_db	seed	reference_arrival_sample	reference_arrival_ms	pick_sample	signed_error_samples	error_samples	signed_error_ms	error_ms	success	waveform	noise_type
synthetic	AIC	100	-10	2201865683	213	213	13	-200	200	-200	200	TRUE	ricker	WGN
synthetic	AIC	100	-10	2198129785	213	213	7	-206	206	-206	206	TRUE	ricker	WGN
synthetic	AIC	100	-10	3395645279	213	213	278	65	65	65	65	TRUE	ricker	WGN
synthetic	AIC	100	-10	3702406461	213	213	230	17	17	17	17	TRUE	ricker	WGN
synthetic	AIC	100	-10	720375782	213	213	236	23	23	23	23	TRUE	ricker	WGN
synthetic	AIC	100	-10	31076656	213	213	238	25	25	25	25	TRUE	ricker	WGN
synthetic	AIC	100	-10	962833270	213	213	441	228	228	228	228	TRUE	ricker	WGN
synthetic	AIC	100	-10	2381575004	213	213	55	-158	158	-158	158	TRUE	ricker	WGN
synthetic	AIC	100	-10	2263386588	213	213	230	17	17	17	17	TRUE	ricker	WGN
synthetic	AIC	100	-10	2150170252	213	213	144	-69	69	-69	69	TRUE	ricker	WGN
synthetic	AIC	100	-10	585458417	213	213	318	105	105	105	105	TRUE	ricker	WGN
synthetic	AIC	100	-10	4163351050	213	213	103	-110	110	-110	110	TRUE	ricker	WGN
synthetic	AIC	100	-10	1731236627	213	213	23	-190	190	-190	190	TRUE	ricker	WGN
synthetic	AIC	100	-10	1418255223	213	213	4	-209	209	-209	209	TRUE	ricker	WGN
synthetic	AIC	100	-10	2202686156	213	213	8	-205	205	-205	205	TRUE	ricker	WGN
synthetic	AIC	100	-10	572174628	213	213	217	4	4	4	4	TRUE	ricker	WGN
synthetic	AIC	100	-10	1242203937	213	213	4	-209	209	-209	209	TRUE	ricker	WGN
synthetic	AIC	100	-10	374196752	213	213	28	-185	185	-185	185	TRUE	ricker	WGN
synthetic	AIC	100	-10	2073157370	213	213	4	-209	209	-209	209	TRUE	ricker	WGN
synthetic	AIC	100	-10	2635885312	213	213	218	5	5	5	5	TRUE	ricker	WGN
synthetic	AIC	100	-10	4246402726	213	213	5	-208	208	-208	208	TRUE	ricker	WGN
synthetic	AIC	100	-10	2906460057	213	213	147	-66	66	-66	66	TRUE	ricker	WGN
synthetic	AIC	100	-10	3970279792	213	213	444	231	231	231	231	TRUE	ricker	WGN
synthetic	AIC	100	-10	204314111	213	213	43	-170	170	-170	170	TRUE	ricker	WGN
synthetic	AIC	100	-10	941226867	213	213	339	126	126	126	126	TRUE	ricker	WGN
synthetic	AIC	100	-10	3420228552	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	117710113	213	213	212	-1	1	-1	1	TRUE	ricker	WGN
synthetic	AIC	100	-10	641614394	213	213	219	6	6	6	6	TRUE	ricker	WGN
synthetic	AIC	100	-10	1286239673	213	213	247	34	34	34	34	TRUE	ricker	WGN
synthetic	AIC	100	-10	267932417	213	213	235	22	22	22	22	TRUE	ricker	WGN
synthetic	AIC	100	-10	2397872863	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	275403186	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	2982519875	213	213	178	-35	35	-35	35	TRUE	ricker	WGN
synthetic	AIC	100	-10	3814917092	213	213	12	-201	201	-201	201	TRUE	ricker	WGN
synthetic	AIC	100	-10	1882817902	213	213	364	151	151	151	151	TRUE	ricker	WGN
synthetic	AIC	100	-10	3806575640	213	213	444	231	231	231	231	TRUE	ricker	WGN
synthetic	AIC	100	-10	1094719995	213	213	414	201	201	201	201	TRUE	ricker	WGN
synthetic	AIC	100	-10	2957062953	213	213	427	214	214	214	214	TRUE	ricker	WGN
synthetic	AIC	100	-10	1792803682	213	213	381	168	168	168	168	TRUE	ricker	WGN
synthetic	AIC	100	-10	4144364308	213	213	240	27	27	27	27	TRUE	ricker	WGN
synthetic	AIC	100	-10	1979437507	213	213	21	-192	192	-192	192	TRUE	ricker	WGN
synthetic	AIC	100	-10	826289542	213	213	443	230	230	230	230	TRUE	ricker	WGN
synthetic	AIC	100	-10	166136247	213	213	440	227	227	227	227	TRUE	ricker	WGN
synthetic	AIC	100	-10	407182186	213	213	34	-179	179	-179	179	TRUE	ricker	WGN
synthetic	AIC	100	-10	859178632	213	213	399	186	186	186	186	TRUE	ricker	WGN
synthetic	AIC	100	-10	260283771	213	213	119	-94	94	-94	94	TRUE	ricker	WGN
synthetic	AIC	100	-10	3981594696	213	213	231	18	18	18	18	TRUE	ricker	WGN
synthetic	AIC	100	-10	531369000	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	286641290	213	213	274	61	61	61	61	TRUE	ricker	WGN
synthetic	AIC	100	-10	1395267905	213	213	446	233	233	233	233	TRUE	ricker	WGN
synthetic	AIC	100	-10	3188772216	213	213	203	-10	10	-10	10	TRUE	ricker	WGN
synthetic	AIC	100	-10	409557222	213	213	419	206	206	206	206	TRUE	ricker	WGN
synthetic	AIC	100	-10	700869476	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	3191037099	213	213	214	1	1	1	1	TRUE	ricker	WGN
synthetic	AIC	100	-10	928743561	213	213	178	-35	35	-35	35	TRUE	ricker	WGN
synthetic	AIC	100	-10	1773660385	213	213	96	-117	117	-117	117	TRUE	ricker	WGN
synthetic	AIC	100	-10	2371450893	213	213	5	-208	208	-208	208	TRUE	ricker	WGN
synthetic	AIC	100	-10	3995748765	213	213	5	-208	208	-208	208	TRUE	ricker	WGN
synthetic	AIC	100	-10	2158655975	213	213	55	-158	158	-158	158	TRUE	ricker	WGN
synthetic	AIC	100	-10	1711968832	213	213	234	21	21	21	21	TRUE	ricker	WGN
synthetic	AIC	100	-10	2271828372	213	213	20	-193	193	-193	193	TRUE	ricker	WGN
synthetic	AIC	100	-10	3542444409	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	2011214242	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	4294428164	213	213	446	233	233	233	233	TRUE	ricker	WGN
synthetic	AIC	100	-10	1615770428	213	213	217	4	4	4	4	TRUE	ricker	WGN
synthetic	AIC	100	-10	2160392464	213	213	3	-210	210	-210	210	TRUE	ricker	WGN
synthetic	AIC	100	-8	2357232997	213	213	237	24	24	24	24	TRUE	ricker	WGN
synthetic	AIC	100	-8	2040892247	213	213	229	16	16	16	16	TRUE	ricker	WGN
synthetic	AIC	100	-8	3707260784	213	213	221	8	8	8	8	TRUE	ricker	WGN
synthetic	AIC	100	-8	2179716031	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	686919141	213	213	218	5	5	5	5	TRUE	ricker	WGN
synthetic	AIC	100	-8	199058619	213	213	360	147	147	147	147	TRUE	ricker	WGN
synthetic	AIC	100	-8	1325953565	213	213	309	96	96	96	96	TRUE	ricker	WGN
synthetic	AIC	100	-8	637754218	213	213	173	-40	40	-40	40	TRUE	ricker	WGN
synthetic	AIC	100	-8	3690193774	213	213	69	-144	144	-144	144	TRUE	ricker	WGN
synthetic	AIC	100	-8	1557929965	213	213	267	54	54	54	54	TRUE	ricker	WGN
synthetic	AIC	100	-8	3361362796	213	213	56	-157	157	-157	157	TRUE	ricker	WGN
synthetic	AIC	100	-8	3881400815	213	213	300	87	87	87	87	TRUE	ricker	WGN
synthetic	AIC	100	-8	3695317744	213	213	432	219	219	219	219	TRUE	ricker	WGN
synthetic	AIC	100	-8	4230041053	213	213	227	14	14	14	14	TRUE	ricker	WGN
synthetic	AIC	100	-8	1012886615	213	213	251	38	38	38	38	TRUE	ricker	WGN
synthetic	AIC	100	-8	813255485	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	3389486803	213	213	220	7	7	7	7	TRUE	ricker	WGN
synthetic	AIC	100	-8	943759129	213	213	230	17	17	17	17	TRUE	ricker	WGN
synthetic	AIC	100	-8	1188713580	213	213	194	-19	19	-19	19	TRUE	ricker	WGN
synthetic	AIC	100	-8	2073004583	213	213	232	19	19	19	19	TRUE	ricker	WGN
synthetic	AIC	100	-8	3825822058	213	213	295	82	82	82	82	TRUE	ricker	WGN
synthetic	AIC	100	-8	326683228	213	213	235	22	22	22	22	TRUE	ricker	WGN
synthetic	AIC	100	-8	3615393862	213	213	16	-197	197	-197	197	TRUE	ricker	WGN
synthetic	AIC	100	-8	2252867402	213	213	224	11	11	11	11	TRUE	ricker	WGN
synthetic	AIC	100	-8	2354674886	213	213	199	-14	14	-14	14	TRUE	ricker	WGN
synthetic	AIC	100	-8	3224496433	213	213	219	6	6	6	6	TRUE	ricker	WGN
synthetic	AIC	100	-8	2734020161	213	213	438	225	225	225	225	TRUE	ricker	WGN
synthetic	AIC	100	-8	2915990137	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	974193578	213	213	91	-122	122	-122	122	TRUE	ricker	WGN
synthetic	AIC	100	-8	3115643964	213	213	236	23	23	23	23	TRUE	ricker	WGN
synthetic	AIC	100	-8	1909309252	213	213	217	4	4	4	4	TRUE	ricker	WGN
synthetic	AIC	100	-8	2618236625	213	213	221	8	8	8	8	TRUE	ricker	WGN
synthetic	AIC	100	-8	2747877463	213	213	220	7	7	7	7	TRUE	ricker	WGN
synthetic	AIC	100	-8	41647612	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	2424266028	213	213	216	3	3	3	3	TRUE	ricker	WGN
synthetic	AIC	100	-8	2605513104	213	213	234	21	21	21	21	TRUE	ricker	WGN
synthetic	AIC	100	-8	2991333408	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	1173247087	213	213	11	-202	202	-202	202	TRUE	ricker	WGN
synthetic	AIC	100	-8	1919321553	213	213	231	18	18	18	18	TRUE	ricker	WGN
synthetic	AIC	100	-8	3965107672	213	213	54	-159	159	-159	159	TRUE	ricker	WGN
synthetic	AIC	100	-8	2599833605	213	213	277	64	64	64	64	TRUE	ricker	WGN
synthetic	AIC	100	-8	18796714	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	205292010	213	213	121	-92	92	-92	92	TRUE	ricker	WGN
synthetic	AIC	100	-8	2020130562	213	213	105	-108	108	-108	108	TRUE	ricker	WGN
synthetic	AIC	100	-8	1117387837	213	213	11	-202	202	-202	202	TRUE	ricker	WGN
synthetic	AIC	100	-8	1494781063	213	213	442	229	229	229	229	TRUE	ricker	WGN
synthetic	AIC	100	-8	429576172	213	213	258	45	45	45	45	TRUE	ricker	WGN
synthetic	AIC	100	-8	4010807601	213	213	234	21	21	21	21	TRUE	ricker	WGN
synthetic	AIC	100	-8	217682754	213	213	445	232	232	232	232	TRUE	ricker	WGN
synthetic	AIC	100	-8	3256659502	213	213	442	229	229	229	229	TRUE	ricker	WGN
synthetic	AIC	100	-8	1650775113	213	213	251	38	38	38	38	TRUE	ricker	WGN
synthetic	AIC	100	-8	399403592	213	213	220	7	7	7	7	TRUE	ricker	WGN
synthetic	AIC	100	-8	973275717	213	213	214	1	1	1	1	TRUE	ricker	WGN
synthetic	AIC	100	-8	1198656986	213	213	22	-191	191	-191	191	TRUE	ricker	WGN
synthetic	AIC	100	-8	813383635	213	213	230	17	17	17	17	TRUE	ricker	WGN
synthetic	AIC	100	-8	1558450324	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-8	1784679553	213	213	218	5	5	5	5	TRUE	ricker	WGN
synthetic	AIC	100	-8	43474442	213	213	231	18	18	18	18	TRUE	ricker	WGN
synthetic	AIC	100	-8	2700917299	213	213	256	43	43	43	43	TRUE	ricker	WGN
synthetic	AIC	100	-8	3410009236	213	213	99	-114	114	-114	114	TRUE	ricker	WGN
synthetic	AIC	100	-8	3337823119	213	213	56	-157	157	-157	157	TRUE	ricker	WGN
synthetic	AIC	100	-8	4028417876	213	213	196	-17	17	-17	17	TRUE	ricker	WGN
synthetic	AIC	100	-8	3194979801	213	213	216	3	3	3	3	TRUE	ricker	WGN
synthetic	AIC	100	-8	3915216557	213	213	194	-19	19	-19	19	TRUE	ricker	WGN
synthetic	AIC	100	-8	3319996256	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-8	2267918334	213	213	169	-44	44	-44	44	TRUE	ricker	WGN
synthetic	AIC	100	-8	2621243693	213	213	219	6	6	6	6	TRUE	ricker	WGN
synthetic	AIC	100	-8	3108141501	213	213	397	184	184	184	184	TRUE	ricker	WGN
synthetic	AIC	100	-8	124115773	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	797140130	213	213	223	10	10	10	10	TRUE	ricker	WGN
synthetic	AIC	100	-8	171433699	213	213	9	-204	204	-204	204	TRUE	ricker	WGN
synthetic	AIC	100	-8	40623788	213	213	365	152	152	152	152	TRUE	ricker	WGN
synthetic	AIC	100	-8	2480854141	213	213	434	221	221	221	221	TRUE	ricker	WGN
synthetic	AIC	100	-8	3966388417	213	213	436	223	223	223	223	TRUE	ricker	WGN
synthetic	AIC	100	-8	680740138	213	213	220	7	7	7	7	TRUE	ricker	WGN
synthetic	AIC	100	-8	1799777520	213	213	30	-183	183	-183	183	TRUE	ricker	WGN
synthetic	AIC	100	-8	3458602932	213	213	234	21	21	21	21	TRUE	ricker	WGN
synthetic	AIC	100	-8	52889567	213	213	311	98	98	98	98	TRUE	ricker	WGN
synthetic	AIC	100	-8	2859071763	213	213	223	10	10	10	10	TRUE	ricker	WGN
synthetic	AIC	100	-8	3302838102	213	213	213	0	0	0	0	TRUE	ricker	WGN
