frequency_hz,snr_db,repeat,feature,window_size,sta_size,lta_size,label_onset,label_end,label_width_samples,retained_scale_count,snr_definition,pearson_abs
100,-10,34,M,21,30,150,213,237,25,128,full_trace_mean_square,0.7563687619489343
100,-10,34,P,21,30,150,213,237,25,128,full_trace_mean_square,0.8964318447289781
100,-10,34,SLTA,21,30,150,213,237,25,128,full_trace_mean_square,0.7470375671503978
100,-10,34,Std,21,30,150,213,237,25,128,full_trace_mean_square,0.8199468627641342
100,-10,34,S,21,30,150,213,237,25,128,full_trace_mean_square,0.3066589667663635
100,-10,34,K,21,30,150,213,237,25,128,full_trace_mean_square,0.3959821972182662
100,-10,35,M,21,30,150,213,237,25,71,full_trace_mean_square,0.6643990276966889
100,-10,35,P,21,30,150,213,237,25,71,full_trace_mean_square,0.7557389360206703
100,-10,35,SLTA,21,30,150,213,237,25,71,full_trace_mean_square,0.6262719517246393
100,-10,35,Std,21,30,150,213,237,25,71,full_trace_mean_square,0.6465641209243363
100,-10,35,S,21,30,150,213,237,25,71,full_trace_mean_square,0.013814636828358168
100,-10,35,K,21,30,150,213,237,25,71,full_trace_mean_square,0.015039521787867452
100,-10,36,M,21,30,150,213,237,25,153,full_trace_mean_square,0.806202002631349
100,-10,36,P,21,30,150,213,237,25,153,full_trace_mean_square,0.9125103579480892
100,-10,36,SLTA,21,30,150,213,237,25,153,full_trace_mean_square,0.7990786579043535
100,-10,36,Std,21,30,150,213,237,25,153,full_trace_mean_square,0.8517880933465053
100,-10,36,S,21,30,150,213,237,25,153,full_trace_mean_square,0.2909127542899071
100,-10,36,K,21,30,150,213,237,25,153,full_trace_mean_square,0.3009929116845188
100,-10,37,M,21,30,150,213,237,25,116,full_trace_mean_square,0.8376398384806573
100,-10,37,P,21,30,150,213,237,25,116,full_trace_mean_square,0.9213757993631989
100,-10,37,SLTA,21,30,150,213,237,25,116,full_trace_mean_square,0.7738021297788629
100,-10,37,Std,21,30,150,213,237,25,116,full_trace_mean_square,0.871368546716994
100,-10,37,S,21,30,150,213,237,25,116,full_trace_mean_square,0.3509147756592583
100,-10,37,K,21,30,150,213,237,25,116,full_trace_mean_square,0.36522235820852805
100,-10,38,M,21,30,150,213,237,25,124,full_trace_mean_square,0.7595590161386566
100,-10,38,P,21,30,150,213,237,25,124,full_trace_mean_square,0.8981126324017278
100,-10,38,SLTA,21,30,150,213,237,25,124,full_trace_mean_square,0.7641858628061855
100,-10,38,Std,21,30,150,213,237,25,124,full_trace_mean_square,0.8288575003508347
100,-10,38,S,21,30,150,213,237,25,124,full_trace_mean_square,0.4338600732294699
100,-10,38,K,21,30,150,213,237,25,124,full_trace_mean_square,0.4968777737972245
100,-10,39,M,21,30,150,213,237,25,105,full_trace_mean_square,0.7020138721039715
100,-10,39,P,21,30,150,213,237,25,105,full_trace_mean_square,0.8881044714447941
100,-10,39,SLTA,21,30,150,213,237,25,105,full_trace_mean_square,0.6837908102826337
100,-10,39,Std,21,30,150,213,237,25,105,full_trace_mean_square,0.8045143445754565
100,-10,39,S,21,30,150,213,237,25,105,full_trace_mean_square,0.3753265840298445
100,-10,39,K,21,30,150,213,237,25,105,full_trace_mean_square,0.47597360050194887
100,-10,40,M,21,30,150,213,237,25,139,full_trace_mean_square,0.747187128496003
100,-10,40,P,21,30,150,213,237,25,139,full_trace_mean_square,0.8879738789211763
100,-10,40,SLTA,21,30,150,213,237,25,139,full_trace_mean_square,0.7880640151901015
100,-10,40,Std,21,30,150,213,237,25,139,full_trace_mean_square,0.819422091156471
100,-10,40,S,21,30,150,213,237,25,139,full_trace_mean_square,0.31747485400128983
100,-10,40,K,21,30,150,213,237,25,139,full_trace_mean_square,0.444873826138647
100,-10,41,M,21,30,150,213,237,25,141,full_trace_mean_square,0.8482785054514506
100,-10,41,P,21,30,150,213,237,25,141,full_trace_mean_square,0.9265356332132262
100,-10,41,SLTA,21,30,150,213,237,25,141,full_trace_mean_square,0.7903159851957272
100,-10,41,Std,21,30,150,213,237,25,141,full_trace_mean_square,0.8784178601428996
100,-10,41,S,21,30,150,213,237,25,141,full_trace_mean_square,0.44525958016108197
100,-10,41,K,21,30,150,213,237,25,141,full_trace_mean_square,0.4647222884483956
100,-10,42,M,21,30,150,213,237,25,138,full_trace_mean_square,0.5630238197910606
100,-10,42,P,21,30,150,213,237,25,138,full_trace_mean_square,0.8443895041252901
100,-10,42,SLTA,21,30,150,213,237,25,138,full_trace_mean_square,0.654445738804221
100,-10,42,Std,21,30,150,213,237,25,138,full_trace_mean_square,0.7340707586821452
100,-10,42,S,21,30,150,213,237,25,138,full_trace_mean_square,0.24617179507978765
100,-10,42,K,21,30,150,213,237,25,138,full_trace_mean_square,0.5783635383508099
100,-10,43,M,21,30,150,213,237,25,134,full_trace_mean_square,0.6693672266068715
100,-10,43,P,21,30,150,213,237,25,134,full_trace_mean_square,0.7581934492667711
100,-10,43,SLTA,21,30,150,213,237,25,134,full_trace_mean_square,0.7045432945396677
100,-10,43,Std,21,30,150,213,237,25,134,full_trace_mean_square,0.6817378849669776
100,-10,43,S,21,30,150,213,237,25,134,full_trace_mean_square,0.1769187466875248
100,-10,43,K,21,30,150,213,237,25,134,full_trace_mean_square,0.07157155519113655
100,-10,44,M,21,30,150,213,237,25,103,full_trace_mean_square,0.6304375568073125
100,-10,44,P,21,30,150,213,237,25,103,full_trace_mean_square,0.7756750956665132
100,-10,44,SLTA,21,30,150,213,237,25,103,full_trace_mean_square,0.6440454698003353
100,-10,44,Std,21,30,150,213,237,25,103,full_trace_mean_square,0.6894377741556247
100,-10,44,S,21,30,150,213,237,25,103,full_trace_mean_square,0.10861972381321533
100,-10,44,K,21,30,150,213,237,25,103,full_trace_mean_square,0.4143034136427016
