waveform,noise_type,frequency_hz,snr_db,repeat,preprocessing,feature,window_size,pearson_r,pc_abs,label_onset,label_end,label_width_samples,label_fraction,retained_scale_count,retained_scale_fraction,true_arrival,reference_method,true_peak_sample
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,27,0.818268030724816,0.818268030724816,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,29,0.8401530635715222,0.8401530635715222,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,31,0.8605064069824891,0.8605064069824891,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,33,0.8790251793078705,0.8790251793078705,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,35,0.8957143327213856,0.8957143327213856,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,37,0.9111169533101072,0.9111169533101072,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,39,0.9260693022697447,0.9260693022697447,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,3,0.5163063080275561,0.5163063080275561,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,5,0.5650134280013434,0.5650134280013434,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,7,0.6097627801135703,0.6097627801135703,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,9,0.6371122234500283,0.6371122234500283,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,11,0.6543497259424175,0.6543497259424175,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,13,0.6723748366192667,0.6723748366192667,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,15,0.6936369953227057,0.6936369953227057,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,17,0.7163229079033049,0.7163229079033049,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,19,0.7392175585036592,0.7392175585036592,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,21,0.7622571156495405,0.7622571156495405,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,23,0.7854592270177563,0.7854592270177563,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,25,0.808668834630991,0.808668834630991,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,27,0.8314400213540952,0.8314400213540952,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,29,0.8530481963839531,0.8530481963839531,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,31,0.8729743612959956,0.8729743612959956,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,33,0.8905506434901055,0.8905506434901055,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,35,0.9055698581686744,0.9055698581686744,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,37,0.9187214237318326,0.9187214237318326,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,4,CWT-calibrated_HOS-iCWT,P,39,0.9310152439978604,0.9310152439978604,276,324,49,0.049,48,0.48,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,3,0.5192581422611772,0.5192581422611772,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,5,0.5631841171435071,0.5631841171435071,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,7,0.6064956097297647,0.6064956097297647,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,9,0.6361082375426521,0.6361082375426521,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,11,0.6552137584146788,0.6552137584146788,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,13,0.6731728599089386,0.6731728599089386,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,15,0.6938247908103128,0.6938247908103128,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,17,0.7162150867853548,0.7162150867853548,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,19,0.7389673494536461,0.7389673494536461,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,21,0.7618454016204149,0.7618454016204149,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,23,0.7849667953428736,0.7849667953428736,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,25,0.8081146269934709,0.8081146269934709,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,27,0.8307856014689696,0.8307856014689696,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,29,0.8522727767425285,0.8522727767425285,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,31,0.8718595480936608,0.8718595480936608,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,33,0.8892349669153089,0.8892349669153089,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,35,0.9045405038414104,0.9045405038414104,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,37,0.9182840706002356,0.9182840706002356,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,5,CWT-calibrated_HOS-iCWT,P,39,0.9314137873404985,0.9314137873404985,276,324,49,0.049,51,0.51,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,3,0.5391636435165663,0.5391636435165663,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,5,0.589310851289198,0.589310851289198,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,7,0.634433545808054,0.634433545808054,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,9,0.6602373949959037,0.6602373949959037,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,11,0.6750847741197705,0.6750847741197705,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,13,0.6908666342609858,0.6908666342609858,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,15,0.7102970047865583,0.7102970047865583,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,17,0.7313936693873045,0.7313936693873045,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,19,0.7528081957325267,0.7528081957325267,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,21,0.7744798308108908,0.7744798308108908,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,23,0.796458044913501,0.796458044913501,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,25,0.8184953819492444,0.8184953819492444,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,27,0.8401517189304071,0.8401517189304071,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,29,0.8608383184216716,0.8608383184216716,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,31,0.8798326149471738,0.8798326149471738,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,33,0.8964460051302761,0.8964460051302761,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,35,0.9104133432210975,0.9104133432210975,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,37,0.9223244104676809,0.9223244104676809,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,6,CWT-calibrated_HOS-iCWT,P,39,0.9333393601821782,0.9333393601821782,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,3,0.4915643416104128,0.4915643416104128,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,5,0.5403267687184506,0.5403267687184506,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,7,0.5842928285155305,0.5842928285155305,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,9,0.6122996437455438,0.6122996437455438,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,11,0.6329154221109475,0.6329154221109475,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,13,0.6546328854178661,0.6546328854178661,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,15,0.678305791280071,0.678305791280071,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,17,0.7027043154078767,0.7027043154078767,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,19,0.7272692270425338,0.7272692270425338,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,7,CWT-calibrated_HOS-iCWT,P,21,0.7519259202119642,0.7519259202119642,276,324,49,0.049,54,0.54,276,AIC_prepeak_clean,300
